"Source:"	"C:\Users\BodeRu\WorkspaceKiCAD\cbEval.ATtiny412_1614\cbEval.ATtiny412_1614.kicad_sch"
"Date:"	"07.04.2021 15:37:45"
"Tool:"	"Eeschema (5.99.0-10141-g7d9ee76f64)"
"Component Count:"	"55"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"R10"	"10k"	"R.Yageo.RC0805:10k"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R11"	"10k"	"R.Yageo.RC0805:10k"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R12"	"10k"	"R.Yageo.RC0805:10k"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R13"	"10k"	"R.Yageo.RC0805:10k"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R14"	"10k"	"R.Yageo.RC0805:10k"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"R15"	"10k"	"R.Yageo.RC0805:10k"	"Resistor_SMD:R_0805_2012Metric"	"SMD-Metallglasurschicht-Chipwiderstand, Dickschicht, nicht gewendelt"	""
"S1"	"C&K-JS202011"	"S:C&K-JS202011"	"Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight"	"Sub-Miniature Slide Switches"	""
"S2"	"C&K-JS202011"	"S:C&K-JS202011"	"Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight"	"Sub-Miniature Slide Switches"	""
"S3"	"TL3305A"	"S:TL3305A"	"Button_Switch_SMD:SW_SPST_TL3305A"	"TL3305 Series Tact Switch"	""
"S4"	"TL3305A"	"S:TL3305A"	"Button_Switch_SMD:SW_SPST_TL3305A"	"TL3305 Series Tact Switch"	""
"U1"	"ATtiny412-SSFR"	"U.MCU:ATtiny412-SSFR"	"Package_SO:SOIC-8_3.9x4.9mm_P1.27mm"	"AVR® Microcontroller with Core Independent Peripherals and picoPower® technology"	""
"U2"	"ATtiny1614-SSFR"	"U.MCU:ATtiny1614-SSFR"	"Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"	"AVR® Microcontroller with Core Independent Peripherals and picoPower® technology"	""
"XTAL1"	"CC7VT1A.12P5"	"XTAL.32768:CC7VT1A.12P5"	"Crystal:Crystal_SMD_MicroCrystal_CC7V-T1A-2Pin_3.2x1.5mm"	"Tuning Fork Crystal 32768 Hz"	""
